Carat,Colour,Clarity,Cut,Certification,Polish,Symmetry,Price,Wholesaler
0.3,3,5,6,GIA,5,4,531,3
0.3,3,6,5,GIA,4,4,531,3
0.3,3,6,4,GIA,3,4,531,3
0.3,3,6,6,GIA,4,4,531,3
0.3,3,6,5,GIA,5,4,531,3
0.3,4,5,3,GIA,4,4,544,3
0.3,3,6,4,GIA,4,4,544,3
0.3,4,5,6,GIA,5,5,547,3
0.3,4,5,5,GIA,5,4,547,3
0.3,3,6,3,GIA,5,5,547,3
0.3,3,6,4,GIA,4,3,547,3
0.3,3,6,5,GIA,4,4,547,3
0.3,3,6,5,GIA,3,3,547,3
0.3,3,6,6,GIA,5,5,547,3
0.3,3,6,4,GIA,4,3,547,3
0.3,3,7,5,GIA,5,4,547,3
0.3,4,5,4,GIA,3,3,547,3
0.3,4,5,4,GIA,5,5,547,3
0.3,4,5,4,GIA,3,4,547,3
0.3,4,5,4,GIA,4,4,547,3
0.3,3,6,3,GIA,4,3,547,3
0.3,3,6,4,GIA,3,5,547,3
0.3,3,6,5,GIA,4,4,547,3
0.3,3,6,5,GIA,4,5,547,3
0.3,3,6,5,GIA,3,3,547,3
0.3,3,6,5,GIA,3,4,547,3
0.3,3,6,4,GIA,5,4,547,3
0.3,3,6,4,GIA,5,4,547,3
0.3,3,6,4,GIA,4,4,547,3
0.3,3,6,4,GIA,4,4,547,3
0.3,3,6,5,GIA,4,4,547,3
0.3,3,6,4,GIA,5,4,547,3
0.3,3,6,5,GIA,5,4,547,3
0.3,3,6,4,GIA,4,4,547,3
0.3,3,6,4,GIA,5,4,547,3
0.3,3,6,5,GIA,4,4,547,3
0.3,3,6,5,GIA,4,4,547,3
0.3,3,6,5,GIA,4,4,547,3
0.3,3,6,6,GIA,3,4,547,3
0.3,3,6,4,GIA,5,4,547,3
0.3,3,6,5,GIA,4,4,547,3
0.3,3,7,4,GIA,4,5,547,3
0.3,3,7,5,GIA,4,4,547,3
0.3,3,7,5,GIA,5,5,547,3
0.3,3,7,6,GIA,4,4,547,3
0.3,3,7,4,GIA,5,4,547,3
0.3,3,7,4,GIA,4,4,547,3
0.3,3,7,6,GIA,4,4,547,3
0.3,3,7,5,GIA,4,4,547,3
0.3,3,7,6,GIA,5,4,547,3
0.3,3,7,5,GIA,4,5,547,3
0.3,3,7,5,GIA,5,4,547,3
0.3,3,7,6,GIA,3,4,547,3
0.3,3,7,6,GIA,3,4,547,3
0.3,3,7,6,GIA,5,4,547,3
0.3,3,7,6,GIA,5,4,547,3
0.3,2,10,5,GIA,5,4,547,3
0.3,2,10,4,GIA,5,4,547,3
0.3,3,6,3,GIA,4,4,559,3
0.3,3,6,5,GIA,4,4,559,3
0.3,3,6,4,GIA,5,5,559,3
0.3,3,6,5,GIA,4,5,559,3
